"玩家名","SteamID","IP","地区","运营商","登录次数","首次登录","最后登录","来源日志"
"1","steam_76561199117456647","183.192.61.161","中国 / 上海市 / 上海","China Mobile communications corporation","8","2026-08-05 19:40:38","2026-08-06 00:01:17","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"11111","steam_76561199187046360","120.243.180.71","中国 / 广东 / 广州市","China Mobile communications corporation","1","2026-08-06 00:47:47","2026-08-06 00:47:47","06.08 00.00.48.log"
"121","steam_76561199693041076","223.79.29.5","中国 / 山东 / 济南市","China Mobile communications corporation","6","2026-08-05 19:38:36","2026-08-06 07:50:23","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"16","steam_76561199092141851","180.119.14.235","中国 / 江苏 / 南京","Chinanet","4","2026-08-05 19:32:54","2026-08-06 00:01:58","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"666","steam_76561199420626164","60.1.248.22","中国 / 河北省 / 承德市","CNC Group CHINA169 Hebei Province Network","2","2026-08-05 19:35:44","2026-08-05 20:30:07","05.08 19.29.54.log; 05.08 20.21.35.log"
"Kp","steam_76561198820000975","116.112.97.230","中国 / 福建省 / 漳州市","CNC Group CHINA169 Neimeng Province Network","1","2026-08-05 22:57:30","2026-08-05 22:57:30","05.08 20.21.35.log"
"lonely","steam_76561199090143266","36.136.99.37","中国 / 广东 / 广州市","China Mobile Communications Corporation","1","2026-08-06 09:16:44","2026-08-06 09:16:44","06.08 00.00.48.log"
"mradboyw","steam_76561199772206467","112.21.10.221","中国 / 江苏 / 无锡市","China Mobile communications corporation","5","2026-08-05 19:33:53","2026-08-05 21:22:56","05.08 19.29.54.log; 05.08 20.21.35.log"
"xin","steam_76561199157482295","36.132.228.106","中国 / 黑龙江 / 哈尔滨市","China Mobile Communications Corporation","4","2026-08-05 19:32:23","2026-08-06 01:19:08","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"怠惰","steam_76561199309995373","127.0.0.1","本机保留地址（无地理位置）","","1","2026-08-05 20:36:27","2026-08-05 20:36:27","05.08 20.21.35.log"
"黑鬼","steam_76561198365596444","110.89.41.106","中国 / 福建省 / 莆田市","Chinanet","3","2026-08-05 19:34:14","2026-08-06 00:01:28","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"九万","steam_76561199248297259","110.154.165.209","中国 / 新疆 / 幸福路","Chinanet","39","2026-08-05 19:36:23","2026-08-06 07:40:41","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"卡比","steam_76561199020827864","112.17.39.147","中国 / 浙江 / 杭州","China Mobile communications corporation","1","2026-08-05 19:34:22","2026-08-05 19:34:22","05.08 19.29.54.log"
"卡比","steam_76561199020827864","211.140.30.211","中国 / 浙江 / 杭州","China Mobile communications corporation","3","2026-08-05 20:25:46","2026-08-06 09:31:32","05.08 20.21.35.log; 06.08 00.00.48.log"
"立风","steam_76561199499442654","36.142.191.139","中国 / 广东 / 广州市","China Mobile Communications Corporation","3","2026-08-05 19:34:02","2026-08-06 00:02:03","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"喵天帝吖","steam_76561198441128921","117.176.220.239","中国 / 四川 / 成都","China Mobile communications corporation","2","2026-08-05 20:23:56","2026-08-06 00:05:50","05.08 20.21.35.log; 06.08 00.00.48.log"
"摸鱼的钟","steam_76561198448371721","120.239.13.29","中国 / 广东 / 广州市","China Mobile communications corporation","2","2026-08-05 19:34:19","2026-08-05 20:24:05","05.08 19.29.54.log; 05.08 20.21.35.log"
"牧龙","steam_76561199180745294","116.112.174.42","中国 / 内蒙古 / 呼市","CNC Group CHINA169 Neimeng Province Network","5","2026-08-05 19:33:55","2026-08-06 09:32:05","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"霹雳雷霆动浩浩长风起","steam_76561198334887397","116.167.59.78","中国 / 北京市 / 西城区","China Unicom CHINA169 Network","30","2026-08-05 19:34:01","2026-08-06 08:26:07","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"秋毫墨染","steam_76561198821598350","182.38.121.157","中国 / 山东 / 济南市","Chinanet","5","2026-08-05 19:33:40","2026-08-06 05:40:10","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"鲨小子爱上波鲁杰克斯","steam_76561198682242190","156.59.5.52","香港 / Kowloon / 香港","Zenlayer Inc","11","2026-08-05 19:35:50","2026-08-06 04:44:05","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"沈忆","steam_76561199467593143","117.188.14.180","中国 / 贵州 / 成都市","China Mobile communications corporation","188","2026-08-05 19:33:48","2026-08-06 06:54:28","05.08 19.29.54.log; 05.08 20.21.35.log; 06.08 00.00.48.log"
"笋猫","steam_76561198357326186","39.155.211.145","中国 / 北京市 / 西城区","China Mobile Communications Corporation","1","2026-08-05 20:46:47","2026-08-05 20:46:47","05.08 20.21.35.log"
